,Origin,Lat,Long,Max Temp (F),Humidity %,Cloudiness %,Wind Speed (mph),Date
0,clyde river,70.47,-68.59,15.8,85,75,4.7,1587233714
1,ancud,-41.87,-73.82,59.0,87,20,9.17,1587233714
2,puerto ayora,-0.74,-90.35,84.2,74,40,13.87,1587233714
3,geraldton,-28.77,114.6,68.0,82,90,10.29,1587233715
4,shu,43.6,73.76,53.26,36,0,6.62,1587233682
5,chuy,-33.7,-53.46,70.14,70,32,6.78,1587233715
6,wiarton,44.74,-81.13,48.0,36,75,17.22,1587233715
7,hobart,-42.88,147.33,45.0,87,40,6.93,1587233715
8,khatanga,71.97,102.5,10.49,93,0,4.81,1587233627
9,busselton,-33.65,115.33,62.01,68,100,22.86,1587233716
10,ushuaia,-54.8,-68.3,53.6,32,40,12.75,1587233716
11,provideniya,64.38,-173.3,21.16,95,100,16.24,1587233529
12,chokurdakh,70.63,147.92,-12.08,86,56,7.52,1587233716
13,itoman,26.12,127.67,71.6,88,75,5.82,1587233717
14,puerto lleras,3.02,-73.4,76.59,70,96,10.42,1587233717
15,komsomolskiy,40.43,71.72,60.8,41,6,6.93,1587233717
16,talnakh,69.49,88.4,37.4,74,100,35.79,1587233679
17,cidreira,-30.18,-50.21,71.73,65,3,10.78,1587233718
18,narsaq,60.92,-46.05,33.8,43,40,5.82,1587233718
19,fairbanks,64.84,-147.72,39.99,100,90,2.98,1587233429
20,port elizabeth,-33.92,25.57,68.0,94,3,9.17,1587233635
21,sorland,67.67,12.69,40.51,91,98,7.85,1587233718
22,tevaitoa,-16.78,-151.5,83.3,70,69,6.85,1587233718
23,benghazi,32.12,20.07,62.74,65,0,15.97,1587233523
24,olafsvik,64.89,-23.71,34.79,90,100,5.95,1587233719
25,vaini,-21.2,-175.2,77.0,83,75,9.17,1587233719
26,kahului,20.89,-156.47,73.0,72,20,4.7,1587233719
27,barrow,71.29,-156.79,-7.6,91,1,9.17,1587233583
28,yuli,9.7,10.27,95.67,14,58,3.27,1587233719
29,punta arenas,-53.15,-70.92,55.0,50,57,12.75,1587233720
30,bluff,-46.6,168.33,43.0,93,100,3.0,1587233720
31,esperance,-33.87,121.9,60.8,93,90,14.99,1587233709
32,ipil,7.75,122.52,78.94,78,5,3.8,1587233720
33,albany,42.6,-73.97,42.01,72,98,1.99,1587233720
34,kapaa,22.08,-159.32,75.2,69,1,9.17,1587233721
35,aksu,41.12,80.26,58.41,37,92,3.98,1587233721
36,codrington,-38.27,141.97,51.66,84,47,7.92,1587233721
37,atuona,-9.8,-139.03,82.26,79,63,14.2,1587233721
38,caravelas,-17.71,-39.25,77.49,78,98,21.54,1587233721
39,mataura,-46.19,168.86,43.0,93,100,3.0,1587233722
40,ilulissat,69.22,-51.1,24.8,79,75,3.36,1587233722
41,ingham,42.6,-84.38,51.01,37,75,11.41,1587233722
42,castro,-24.79,-50.01,71.24,38,36,4.59,1587233626
43,plettenberg bay,-34.05,23.37,69.55,48,0,4.38,1587233723
44,saskylakh,71.92,114.08,8.49,81,0,5.06,1587233526
45,boyolangu,-8.12,111.89,77.52,83,100,4.7,1587233723
46,qinhuangdao,39.93,119.59,54.52,52,100,1.83,1587233723
47,islamkot,24.7,70.18,85.32,32,54,13.29,1587233724
48,tuktoyaktuk,69.45,-133.04,6.8,77,40,6.93,1587233724
49,saint-pierre,-21.34,55.48,77.0,78,20,17.22,1587233724
50,dikson,73.51,80.55,35.91,91,100,18.05,1587233687
51,dakar,14.69,-17.44,75.2,73,32,18.34,1587233439
52,bredasdorp,-34.53,20.04,61.0,87,0,4.7,1587233724
53,maraa,-1.83,-65.37,81.93,84,79,3.4,1587233725
54,vardo,70.37,31.11,33.8,86,75,11.41,1587233616
55,mar del plata,-38.0,-57.56,73.99,53,0,20.8,1587233725
56,beyneu,45.32,55.2,65.48,36,78,6.11,1587233680
57,vestmannaeyjar,63.44,-20.27,44.6,93,90,14.99,1587233726
