,Origin,Lat,Long,Max Temp (F),Humidity %,Cloudiness %,Wind Speed (mph),Date
0,port elizabeth,-33.92,25.57,66.2,93,0,4.7,1587238823
1,arraial do cabo,-22.97,-42.03,77.0,78,20,9.17,1587238710
2,nikolskoye,59.7,30.79,37.4,91,90,11.18,1587238823
3,hvide sande,56.0,8.13,48.0,45,0,1.01,1587238823
4,barrow,71.29,-156.79,-2.2,77,1,10.29,1587238802
5,cape town,-33.93,18.42,66.99,72,83,3.36,1587238817
6,mantua,45.17,10.78,64.0,59,92,1.01,1587238823
7,grootfontein,-19.57,18.12,68.16,39,45,3.85,1587238824
8,georgetown,5.41,100.34,82.4,88,40,3.36,1587238824
9,busselton,-33.65,115.33,62.01,77,100,24.32,1587238824
10,port lincoln,-34.73,135.87,58.28,73,48,8.84,1587238824
11,punta arenas,-53.15,-70.92,55.4,43,75,17.22,1587238824
12,avila,40.58,-5.0,55.4,76,100,5.82,1587238824
13,mataura,-46.19,168.86,43.0,92,94,7.0,1587238567
14,ponta do sol,32.67,-17.1,62.01,58,24,8.01,1587238576
15,kaz,52.91,87.31,38.16,66,0,5.14,1587238825
16,hermanus,-34.42,19.23,69.01,45,69,4.81,1587238825
17,hithadhoo,-0.6,73.08,83.75,75,98,11.48,1587238825
18,ushuaia,-54.8,-68.3,50.0,64,75,18.34,1587238745
19,albany,42.6,-73.97,44.01,66,63,5.99,1587238638
20,ribeira grande,38.52,-28.7,64.4,88,75,14.99,1587238826
21,clairmont,55.27,-118.79,41.0,56,20,3.36,1587238826
22,taksimo,56.34,114.88,13.26,81,91,6.04,1587238826
23,biarritz,43.48,-1.56,61.0,93,100,3.36,1587238800
24,luderitz,-26.65,15.16,60.8,87,8,6.93,1587238826
25,denia,38.84,0.11,61.0,94,100,1.99,1587238826
26,yellowknife,62.46,-114.35,24.01,79,90,11.41,1587238826
27,dawson creek,55.77,-120.24,44.6,42,1,2.24,1587238709
28,qaanaaq,77.48,-69.36,20.39,86,100,9.71,1587238821
29,magistralnyy,56.17,107.45,19.63,89,49,12.17,1587238827
30,bethel,41.37,-73.41,42.01,75,90,10.29,1587238827
31,rikitea,-23.12,-134.97,77.11,70,26,6.31,1587238827
32,dikson,73.51,80.55,35.44,90,100,18.92,1587238826
33,kruisfontein,-34.0,24.73,65.19,43,0,6.08,1587238676
34,kahului,20.89,-156.47,77.0,50,20,3.36,1587238828
35,bredasdorp,-34.53,20.04,57.2,87,42,1.12,1587238828
36,angul,20.85,85.1,76.71,82,0,2.24,1587238828
37,butaritari,3.07,172.79,83.21,77,76,15.82,1587238828
38,bathsheba,13.22,-59.52,86.0,58,40,20.8,1587238632
39,bluff,-46.6,168.33,43.0,91,100,7.0,1587238828
40,lebu,-37.62,-73.65,61.43,73,51,6.55,1587238581
41,hirara,24.8,125.28,74.01,87,100,16.6,1587238631
42,imeni poliny osipenko,52.42,136.49,27.23,86,100,8.75,1587238829
43,saskylakh,71.92,114.08,8.49,79,0,5.37,1587238829
44,badarganj,25.67,89.05,73.49,75,21,5.3,1587238829
45,kapaa,22.08,-159.32,78.8,65,1,11.41,1587238829
46,jasper,37.2,-94.35,64.0,31,1,6.93,1587238830
47,meadow lake,34.8,-106.54,68.0,18,75,6.93,1587238830
48,vardo,70.37,31.11,36.07,83,97,20.33,1587238830
49,east london,-33.02,27.91,71.13,65,0,17.9,1587238830
50,tapiramuta,-11.85,-40.79,69.33,78,78,3.15,1587238830
51,padang,-0.95,100.35,78.28,77,95,1.59,1587238599
52,jamestown,42.1,-79.24,44.01,48,75,13.87,1587238824
53,morgan city,29.7,-91.21,73.4,88,90,9.17,1587238831
54,tomatlan,19.93,-105.25,88.12,41,66,12.37,1587238831
55,umm kaddadah,13.6,26.69,80.58,14,91,11.83,1587238831
56,dekar,-21.53,21.93,73.92,31,14,7.85,1587238831
57,beringovskiy,63.05,179.32,19.63,96,100,16.02,1587238831
58,daru,-9.08,143.21,79.34,86,30,7.56,1587238615
59,cidreira,-30.18,-50.21,68.59,78,0,11.72,1587238747
60,kalmunai,7.42,81.82,81.66,79,65,5.41,1587238832
61,saint george,37.1,-113.58,69.01,34,1,14.88,1587238679
62,zvishavane,-20.33,30.07,63.64,68,18,6.73,1587238832
63,pangnirtung,66.15,-65.71,5.0,77,20,6.93,1587238832
64,were ilu,10.6,39.43,55.22,42,100,1.36,1587238832
65,bengkulu,-3.8,102.27,77.14,84,100,4.85,1587238832
66,airai,-8.93,125.41,59.76,56,44,2.86,1587238642
67,belize,17.25,-88.75,98.6,39,20,6.93,1587238833
68,puerto ayora,-0.74,-90.35,86.0,70,75,13.87,1587238833
69,obzor,42.82,27.88,55.4,62,16,6.93,1587238833
70,hope mills,34.97,-78.95,71.6,37,1,19.46,1587238833
71,chicama,-7.84,-79.15,71.6,78,40,13.87,1587238600
72,bara,10.37,10.73,87.4,11,88,2.35,1587238833
73,lincoln,40.8,-96.67,69.8,30,1,21.92,1587238786
74,tasiilaq,65.61,-37.64,32.0,95,100,17.22,1587238826
75,pechory,57.82,27.61,37.4,86,100,4.47,1587238834
76,esperance,-33.87,121.9,59.0,100,75,12.75,1587238834
77,nome,64.5,-165.41,34.0,100,90,9.17,1587238572
78,taoudenni,22.68,-3.98,81.43,43,14,24.67,1587238834
79,sitka,57.05,-135.33,44.6,87,40,4.0,1587238567
80,huambo,-12.78,15.74,60.03,58,100,3.27,1587238835
81,pahrump,36.21,-115.98,71.01,45,79,4.0,1587238835
82,inhambane,-23.86,35.38,77.0,69,20,6.93,1587238835
83,haukipudas,65.18,25.35,37.4,74,90,12.75,1587238835
84,kanye,-24.97,25.33,65.66,32,40,3.24,1587238835
85,kokopo,-4.35,152.26,79.34,78,86,3.0,1587238835
86,tuktoyaktuk,69.45,-133.04,8.6,78,40,3.36,1587238835
87,seoul,37.57,126.98,53.6,81,20,4.43,1587238807
88,ilulissat,69.22,-51.1,23.83,95,100,4.43,1587238836
89,upernavik,72.79,-56.15,24.46,90,100,23.78,1587238818
90,muros,42.78,-9.06,62.01,83,24,3.0,1587238836
91,axim,4.87,-2.24,82.0,82,14,9.44,1587238836
92,hilo,19.73,-155.09,80.6,44,1,3.36,1587238815
93,sorland,67.67,12.69,40.46,93,100,8.08,1587238836
94,san patricio,19.22,-104.7,82.4,78,20,11.41,1587238823
95,santa ana,33.75,-117.87,66.2,52,75,5.82,1587238837
96,port hardy,50.7,-127.42,48.2,87,40,6.93,1587238837
97,severo-kurilsk,50.68,156.12,34.54,88,9,11.7,1587238828
98,rawlins,41.79,-107.24,51.8,27,20,19.46,1587238837
99,amboasary,-25.03,46.38,68.27,85,83,4.32,1587238837
100,yining,29.04,114.56,61.56,89,100,3.76,1587238837
101,pishin,30.58,67.0,57.65,33,68,2.15,1587238838
102,te anau,-45.42,167.72,46.09,73,100,6.96,1587238602
103,ugoofaaru,5.67,73.0,85.91,73,3,10.31,1587238838
104,jacmel,18.23,-72.53,87.8,58,40,12.75,1587238838
105,atuona,-9.8,-139.03,82.47,79,89,18.37,1587238812
106,sumenep,-7.02,113.87,80.19,79,63,2.8,1587238839
107,buchanan,5.88,-10.05,82.4,83,75,8.37,1587238839
108,diffa,13.32,12.61,80.56,13,32,3.06,1587238839
109,tura,25.52,90.22,66.18,77,0,2.15,1587238839
110,port alfred,-33.59,26.89,66.0,95,0,4.0,1587238839
111,bayburt,40.26,40.23,44.65,42,54,2.39,1587238839
112,sarandi,-23.44,-51.87,67.93,57,4,4.52,1587238839
113,westerly,41.38,-71.83,42.8,70,90,13.87,1587238730
114,salalah,17.02,54.09,82.4,74,40,6.93,1587238840
115,mahebourg,-20.41,57.7,79.0,74,40,12.75,1587238840
116,karratha,-20.74,116.85,82.06,60,100,8.84,1587238840
117,galveston,29.37,-94.97,72.0,88,90,12.75,1587238640
118,hervey bay,-25.3,152.85,73.99,100,75,4.7,1587238840
119,gavle,60.67,17.14,42.01,54,30,3.0,1587238841
120,hasaki,35.73,140.83,52.0,87,75,4.7,1587238841
121,chernyshevskiy,63.01,112.47,5.31,91,56,4.92,1587238841
122,rafsanjan,30.41,55.99,62.69,33,25,2.66,1587238841
123,broken hill,-31.95,141.43,50.0,57,40,4.7,1587238841
124,launceston,-41.45,147.17,39.99,80,65,3.36,1587238841
125,arrecife,28.96,-13.55,66.2,68,20,16.11,1587238841
126,anadyr,64.75,177.48,14.0,92,90,17.9,1587238672
127,greystones,53.14,-6.06,46.0,92,98,7.9,1587238842
128,saint-pierre,-21.34,55.48,77.0,83,40,11.41,1587238842
129,kharp,66.8,65.81,32.07,94,100,3.85,1587238842
130,okato,-39.2,173.88,57.99,82,55,17.16,1587238842
131,laguna,38.42,-121.42,64.99,55,90,9.17,1587238806
132,cherskiy,68.75,161.3,2.01,87,42,6.58,1587238842
133,vaini,-21.2,-175.2,77.0,83,40,10.29,1587238842
134,ewa beach,21.32,-158.01,77.0,57,40,8.05,1587238619
135,honiara,-9.43,159.95,73.4,100,40,2.24,1587238843
