,Origin,Lat,Long,Max Temp (F),Humidity %,Cloudiness %,Wind Speed (mph),Date
0,chuy,-33.7,-53.46,71.15,67,0,7.92,1587311640
1,albany,42.6,-73.97,57.0,31,2,5.01,1587311930
2,punta arenas,-53.15,-70.92,44.6,65,40,42.5,1587311930
3,port alfred,-33.59,26.89,81.54,52,39,17.45,1587311506
4,katsuura,35.13,140.3,57.04,75,96,15.39,1587311836
5,bluff,-46.6,168.33,43.0,84,96,5.01,1587311510
6,armidale,-30.52,151.65,40.75,57,0,1.95,1587311931
7,isangel,-19.55,169.27,78.93,85,100,15.95,1587311931
8,hithadhoo,-0.6,73.08,85.23,74,29,11.41,1587311931
9,bardiyah,31.76,25.09,64.36,62,2,9.22,1587311931
10,mataura,-46.19,168.86,43.0,84,87,5.01,1587311931
11,khatanga,71.97,102.5,18.73,94,43,4.99,1587311627
12,ushuaia,-54.8,-68.3,44.6,75,75,1.1,1587311506
13,snyder,32.72,-100.92,69.01,34,1,17.22,1587311686
14,seoul,37.57,126.98,50.0,87,90,4.7,1587311834
15,sao felix do xingu,-6.64,-51.99,80.46,75,92,1.77,1587311932
16,hermanus,-34.42,19.23,70.0,76,57,1.01,1587311932
17,rikitea,-23.12,-134.97,76.51,69,20,6.33,1587311214
18,dukat,62.55,155.55,-6.65,81,100,4.74,1587311932
19,busselton,-33.65,115.33,55.0,59,95,9.4,1587311574
20,elizabeth city,36.29,-76.25,64.0,44,1,10.29,1587311733
21,bull savanna,17.89,-77.59,82.72,57,0,9.82,1587311933
22,ulaanbaatar,47.91,106.88,21.2,44,1,8.95,1587311844
23,kahului,20.89,-156.47,68.0,82,1,9.44,1587311933
24,ulaangom,49.98,92.07,36.28,52,0,1.72,1587311933
25,ponta do sol,32.67,-17.1,69.01,48,21,5.99,1587311807
26,vestmannaeyjar,63.44,-20.27,44.6,100,75,13.87,1587311933
27,onokhoy,51.93,108.07,28.4,33,20,8.95,1587311934
28,carnarvon,-24.87,113.63,75.2,78,62,13.87,1587311877
29,baruun-urt,46.68,113.28,30.51,59,100,13.04,1587311934
30,bredasdorp,-34.53,20.04,73.4,49,7,16.11,1587311509
31,cabo san lucas,22.89,-109.91,73.0,88,5,7.45,1587311934
32,bathsheba,13.22,-59.52,87.8,55,40,23.04,1587311768
33,hami,42.8,93.45,65.14,18,99,10.42,1587311771
34,bengkulu,-3.8,102.27,79.59,80,100,3.02,1587311740
35,touros,-5.2,-35.46,87.8,70,40,8.05,1587311935
36,tautira,-17.73,-149.15,78.8,78,75,3.36,1587311935
37,ixtapa,20.7,-105.2,77.0,73,75,2.44,1587311766
38,vaini,-21.2,-175.2,77.0,83,20,8.05,1587311935
39,kaitangata,-46.28,169.85,48.99,55,54,13.0,1587311935
40,tasiilaq,65.61,-37.64,32.0,97,100,23.04,1587311936
41,mogocha,53.73,119.77,16.59,81,96,7.72,1587311936
42,port elizabeth,-33.92,25.57,78.8,57,0,6.93,1587311834
43,urbino,43.73,12.64,64.99,83,100,8.01,1587311936
44,atuona,-9.8,-139.03,82.81,74,91,16.15,1587311571
45,chulumani,-16.41,-67.53,73.87,29,33,4.74,1587311936
46,barrow,71.29,-156.79,8.6,78,90,3.36,1587311639
47,porto walter,-8.27,-72.74,82.67,45,33,3.74,1587311937
48,maryville,35.76,-83.97,55.0,81,90,4.7,1587311937
49,aguimes,27.91,-15.45,73.4,53,20,26.4,1587311937
50,bethel,41.37,-73.41,55.0,43,1,14.99,1587311706
51,thongwa,16.76,96.53,87.8,66,52,9.17,1587311937
52,puerto ayora,-0.74,-90.35,84.0,83,40,13.87,1587311574
53,abnub,27.27,31.15,84.2,37,0,11.41,1587311938
54,manoharpur,27.3,75.95,89.6,19,40,3.36,1587311938
55,castro,-24.79,-50.01,70.36,39,2,5.28,1587311410
56,dikson,73.51,80.55,35.98,92,100,23.87,1587311636
57,tessalit,20.2,1.01,104.68,7,77,18.97,1587311938
58,novikovo,51.15,37.89,49.06,48,94,6.67,1587311938
